model_id,l1_mean,l1_var,l1_skew,l1_kurtosis,l1_l2_norm,l1_max_amp,l2_mean,l2_var,l2_skew,l2_kurtosis,l2_l2_norm,l2_max_amp,l3_mean,l3_var,l3_skew,l3_kurtosis,l3_l2_norm,l3_max_amp,quality_class
model_0011,0.0005795489,0.0027741434,-0.09111766,4.4285245,23.597649,0.4782894,-0.0010091001,0.011444509,0.008976764,0.572634,19.36613,0.5407853,-0.0014574947,0.2906863,0.03539839,-0.6459589,19.289408,1.7019,labs
model_0012,-0.00091515656,0.00044721965,0.008539882,-1.0809928,9.482977,0.06873277,0.0012576717,0.0014373676,0.027722215,-1.0638795,6.866695,0.10617023,0.0006216149,0.0062032416,0.059011143,-0.46636534,2.817915,0.22606233,vidējs
model_0013,0.00059787603,0.008768833,-0.16167505,4.1149974,41.95248,0.7153982,-3.2570766e-05,0.03215398,0.027930709,0.81817436,32.459538,0.89528453,-0.041821152,0.081054315,-0.1572529,-1.3611196,10.295059,0.696743,labs
model_0014,0.019171232,0.028592117,-3.629696,66.40297,76.23842,3.8848948,-0.025882568,0.019316358,-2.0621026,13.268021,25.591208,1.5463017,-0.017050441,0.015523406,-0.7218687,1.8810716,4.4991198,0.5892974,vidējs
model_0015,0.0018071096,0.0029679865,0.62807536,6.3596964,24.420101,0.32047203,-0.089997634,0.048276074,-3.7476716,22.416567,42.98043,2.1407177,0.009603193,0.0650859,-0.8529975,9.887471,9.133893,1.9240373,slikts
model_0016,-0.00055151875,0.0009333552,-0.040011965,1.5591197,13.689013,0.25052866,0.0031538834,0.002925749,-0.117808215,0.6408951,9.808001,0.35421753,-0.016433567,0.009033565,-0.2743672,-0.52659345,3.45089,0.30381328,labs
model_0017,0.0012386317,0.0030034017,-0.19016978,1.8888979,24.558144,0.34963766,-0.004432564,0.013046049,0.01033213,-0.46554136,20.691465,0.38309103,-0.018812627,0.032544404,-0.097373664,-1.5548434,6.48921,0.3366149,labs
model_0018,0.039880678,0.05230325,-5.5291433,104.87227,104.00328,6.5983195,-0.04348252,0.02919961,-5.9025455,51.8658,31.918146,2.9165134,0.008656757,0.02541871,-1.6102095,6.8085585,5.7124314,1.233206,vidējs
model_0019,0.0019922922,0.0050024465,-0.28680125,3.166953,31.698687,0.55387986,-0.00496933,0.01864958,0.004017528,-0.19333196,24.73699,0.5463093,-0.015551734,0.040154368,-0.09787379,-1.5041074,7.1907697,0.40777123,labs
model_0020,0.067378506,0.045909517,-1.8902818,157.65062,100.62499,6.2313275,-0.007481622,0.0033467317,-2.3791957,29.29232,10.55935,0.8363091,-0.06051036,0.05520729,-0.6655671,3.2026043,8.680556,1.1764762,slikts
model_0021,0.004483966,0.0079322625,-1.2603942,15.461115,39.950863,1.4629318,-0.028013047,0.013239125,-0.627634,1.7535949,21.436737,0.6275246,-0.0017840912,0.04332746,-0.04084993,-1.0603346,7.4473634,0.5501342,labs
model_0022,0.15611297,0.2563195,3.515368,13.341688,237.35141,4.15559,-0.064582415,0.20570403,-4.377991,33.659054,82.92877,4.332938,1.5436716,4.6188173,0.6229253,0.48440695,94.66903,10.442794,slikts
model_0023,0.00020355353,0.0005613812,-0.095809154,-0.20340967,10.615073,0.14740546,0.0026795575,0.0018891644,0.13119553,-0.49228144,7.8828554,0.17685634,-7.503545e-05,0.01740149,0.055093605,-1.0041933,4.719525,0.3428787,vidējs
model_0024,0.004511742,0.012672597,-0.9728561,6.6066446,50.473015,1.1812587,-0.06271652,0.03588964,-0.13225633,0.38712478,36.123676,0.83567077,0.00083408953,0.31989777,-0.0978004,-1.2890286,20.235365,1.2982494,labs
model_0025,0.0002550205,0.000828325,-0.37302223,2.0102391,12.894229,0.21678644,0.0028467039,0.0033386296,-0.12089628,0.68798876,10.472141,0.2733292,-0.025291285,0.013579202,-0.31452966,-1.1277752,4.266161,0.31936973,labs
model_0026,0.0047657248,0.0016408807,-0.9233987,13.982576,18.272642,0.48979974,-0.015114274,0.0071689733,0.22476125,3.2363806,15.569151,0.44534832,-0.012575688,0.058318794,-0.14319663,-1.4447703,8.651618,0.5057551,vidējs
model_0027,-0.0007931927,0.00050277007,-0.00715272,-0.66561365,10.0515785,0.11685582,0.0017490725,0.0017944763,0.039944485,-0.6534164,7.674741,0.16420364,0.0003716861,0.015925482,-0.035933685,-0.10023785,4.514952,0.4494399,labs
model_0028,-0.001158888,0.00046782833,0.006586689,-0.9620049,9.703842,0.08425292,0.001649864,0.0015656496,0.047845498,-0.9364431,7.168849,0.14917232,-0.0017353088,0.009287437,0.13303873,-0.19851828,3.448445,0.3459339,vidējs
model_0029,0.001462235,0.0010418487,-0.13320793,1.5379715,14.475231,0.20893998,-0.014986236,0.0047660386,0.011290399,-0.2973721,12.787994,0.2618456,-0.00080872944,0.064398095,-0.25901252,-1.0130752,9.079119,0.6286344,vidējs
model_0030,-0.049261875,0.15075864,-2.2999542,15.191858,175.3418,2.451817,-0.15966552,0.3900229,-0.98106605,9.571272,116.686005,3.479187,0.43458787,0.28631312,-0.26015386,8.837306,24.66232,3.5291748,slikts
model_0031,0.0005745938,0.0016169135,-0.033636242,2.13693,18.016306,0.23806463,-0.0009121294,0.008280728,0.03712921,-0.11800432,16.473318,0.37182307,-0.030588185,0.027991612,-0.40902412,-1.1109391,6.0849714,0.4674174,vidējs
model_0032,6.611057e-05,0.00042581957,-0.003018537,-1.2032126,9.244703,0.035719834,0.0002956141,0.0012992872,-0.014789791,-1.1987876,6.525174,0.06253174,0.0004152534,0.002536233,-0.02562523,-1.169772,1.8018323,0.08935325,slikts
model_0033,-1.2584916e-05,0.00041515005,0.0057495846,-1.176077,9.128105,0.04600309,6.203145e-05,0.0012777508,0.009111103,-1.1761602,6.4706616,0.07273306,-0.00031272587,0.0032965555,-0.025373753,-1.0490395,2.0541947,0.14093648,slikts
model_0034,-0.00018239916,0.00047230668,-0.007076922,-0.8853688,9.736553,0.09215426,0.0024629044,0.0015774197,0.046837114,-0.91366005,7.2033086,0.14112413,0.0030537047,0.0099867415,0.049853995,-0.6277807,3.5770051,0.28804865,vidējs
model_0035,0.002263196,0.17929567,-0.31415555,42.30847,189.70074,7.490659,-0.04132901,0.42840067,-0.28013524,176.55927,118.71732,19.764408,-0.0003372252,2.4173083,0.38684097,2.608985,55.625126,7.065196,slikts
model_0036,0.0101584215,0.07632434,0.12075007,59.155453,123.85197,5.696032,-0.059870575,0.1071397,-2.8299816,274.48596,60.234623,11.4336605,-0.035363875,0.21419987,-1.6785758,12.006363,16.606524,3.7968333,vidējs
model_0037,0.0070784627,0.014074869,-2.1916745,70.018005,53.244137,3.242212,-0.034769118,0.048739314,0.9301132,47.591404,40.45618,3.4767869,-0.016963799,0.1043733,-0.17476025,0.30523443,11.574376,1.1126459,vidējs
model_0038,-1.9172523e-05,0.0004668492,0.002347174,-0.9250028,9.679802,0.08856794,0.0026865143,0.0015519939,0.07291533,-0.92817426,7.1478834,0.12483448,0.0018545885,0.009078709,0.051115602,-0.7992456,3.4095676,0.23173422,vidējs
model_0039,-0.0021934267,0.0005661515,0.05634182,-0.38233924,10.704879,0.112311475,0.0029726983,0.0015423464,-0.018407699,-0.526124,7.129458,0.1363561,-0.005610966,0.004191924,-0.09578575,-0.8913331,2.3250723,0.17983414,vidējs
model_0040,-0.0001837407,0.00042595592,0.0015494748,-1.194428,9.246506,0.042539645,0.00065300683,0.0013186738,-0.016967367,-1.2083796,6.5745177,0.06950249,0.0011983988,0.002768022,0.0032152592,-1.163419,1.8827922,0.105054595,slikts
model_0041,-1.8956373e-05,0.00042549745,0.00061757176,-1.201094,9.241162,0.037852343,-0.000120670804,0.0013034814,0.0049473816,-1.1993146,6.535515,0.064714305,0.0008494843,0.0024359482,0.011066248,-1.1577401,1.7660513,0.0980171,slikts
model_0042,0.00028266932,0.0015632745,-0.024636071,0.41447282,17.713593,0.15524231,-0.0011044276,0.0051757833,0.0097528165,-0.9010327,13.024592,0.17724404,-0.0019515982,0.010995092,-0.03894639,-1.385677,3.752145,0.18823051,vidējs
model_0043,0.0048516467,0.025006583,-0.03836311,4.4269724,70.87766,1.2116317,0.0019434745,0.071394145,0.069285326,1.027883,48.369076,1.4086189,-0.09748527,0.24965826,-0.25600085,-1.2550547,18.213371,1.2553447,labs
model_0044,0.016892996,0.09645554,-0.646186,12.408982,139.3423,3.7239647,-0.123787165,0.25582707,0.34062615,2.7540946,94.26056,3.238837,0.0002275329,0.19116776,0.18261534,0.07377267,15.642723,1.4240586,vidējs
model_0045,0.00036110857,0.001000063,-0.4089823,3.3229012,14.168369,0.2717538,0.002011903,0.002878671,0.038613256,0.4430313,9.719101,0.24010144,-0.0015591205,0.0452404,-0.1693053,-0.7579012,7.6099157,0.66521627,labs
model_0046,0.04345601,0.35857472,-0.1454588,-1.9734843,268.9728,0.86365736,-0.26550996,0.2972223,0.90867645,-1.0750939,109.76966,1.3155651,0.08970395,0.24596043,-0.23515306,-1.4679475,18.03134,0.9185572,slikts
model_0047,-7.268187e-05,0.0004679721,-0.0071397056,-0.92584705,9.691486,0.081933185,0.0028260718,0.0015552733,0.071323864,-0.88443947,7.1571574,0.12884012,4.9818213e-05,0.0090352055,-0.05275364,-0.71222806,3.4007452,0.24871275,vidējs
model_0048,5.4222626e-05,0.0006276314,-0.001313562,0.07126069,11.223578,0.13465983,-1.0874006e-05,0.0029682945,-0.0020470524,-0.42320228,9.862306,0.19116181,-0.0019396048,0.055294037,0.022351803,-0.70707273,8.413156,0.63361365,vidējs
model_0049,0.0026890207,0.0027265362,-0.6318488,4.156593,23.423876,0.47435322,-0.030007342,0.011415229,0.07399835,0.12659788,20.088799,0.44736257,-0.0002752222,0.14140162,-0.30131096,-1.1176273,13.453407,0.9139386,labs
model_0050,0.00040656995,0.0012331529,0.015031775,1.5421896,15.733144,0.18968186,-0.0013021806,0.0040905112,0.0076410035,-0.43897295,11.579872,0.19827585,-0.014418806,0.009855015,-0.39718637,-0.8700938,3.5889463,0.2809021,vidējs
model_0051,0.038297255,0.012407696,-1.3909134,49.043106,52.769714,2.639917,-0.014773662,0.007941715,-1.5897402,14.606035,16.351944,1.1897882,-0.006146484,0.015089879,-0.81544423,2.4938564,4.4003863,0.61966926,labs
model_0052,0.32956555,0.7943828,1.4897096,17.277052,425.71683,17.247715,-0.1617072,0.4925214,-3.8106081,14.784256,130.36795,6.1298556,1.3100688,4.813265,0.51088583,0.45006824,91.421104,10.457057,slikts
model_0053,-0.0007905751,0.0004823036,8.2920524e-05,-0.8173573,9.845082,0.10202638,0.0018190801,0.0016562147,0.044532586,-0.82659054,7.37423,0.14101881,0.001210964,0.011858763,0.060390946,-0.42298746,3.8962922,0.31379816,vidējs
model_0054,0.001011068,0.0017577965,-0.1763992,7.923931,18.788332,0.42873338,0.0013710635,0.002579261,-0.07437046,5.1037188,9.196674,0.4066336,-0.009704083,0.008903248,-0.5534844,0.3540597,3.3936253,0.35901418,labs
model_0055,0.002262717,0.004774033,-1.6104174,20.031935,30.970867,1.006839,-0.022487216,0.008150732,-0.50920516,2.1011548,16.842007,0.45641834,-0.00033204444,0.02966116,0.26559535,-1.0346519,6.1616898,0.41177434,labs
model_0056,2.163509e-05,0.00042387284,-0.004801215,-1.1994222,9.223507,0.036214687,0.00029536756,0.0012929963,-0.01049377,-1.1945676,6.5093594,0.06290751,-0.00032394618,0.002506492,0.03483651,-1.1407837,1.791213,0.09702496,slikts
model_0057,-0.0017359821,0.00056271214,0.037454743,0.011216164,10.655673,0.14402328,0.0030121496,0.0015953911,-0.0036202464,-0.16864395,7.2508674,0.18506514,-0.004507363,0.0046433955,-0.07725314,-0.9056504,2.4432664,0.23051359,vidējs
model_0058,0.0005704522,0.0020744903,-0.15183781,2.4706721,20.406462,0.32376996,0.00017650421,0.01071643,-0.00071960484,-0.33981633,18.739182,0.37977058,-0.02564511,0.03885812,-0.11707321,-1.4083564,7.1119766,0.4065106,labs
model_0059,0.011069691,0.3601401,-0.036803097,-1.9936986,268.89798,0.63621426,-0.11810318,0.34731534,0.38524544,-1.8173378,108.802055,0.9871762,0.06376664,0.20525034,-0.36232808,-1.2262527,16.36842,0.90008664,slikts
model_0060,0.0068754633,0.023226935,-0.82742345,6.2448044,68.34635,1.6028038,-0.082864396,0.04984056,-0.156441,0.10174394,43.10658,0.9360588,0.0007129997,0.3335777,-0.11801776,-1.1469151,20.663496,1.3706732,labs
model_0061,8.4502135e-05,0.0004577608,-0.10292703,-0.24071765,9.585187,0.13969904,0.003403422,0.0016572751,0.13554513,-0.41392064,7.3949413,0.15878075,-0.00044813738,0.017110307,0.023225041,-1.0869946,4.6798987,0.31598288,labs
model_0062,-0.00054822746,0.00046884542,0.012540666,-0.97083235,9.703581,0.058763437,0.0034040601,0.0014560836,0.004734114,-1.0405815,6.934887,0.0853928,-0.0011944443,0.0034406546,-0.058702588,-1.1453711,2.0990152,0.11041983,vidējs
model_0063,0.0073212185,0.0011755216,4.2525363,36.497265,15.706352,0.62884164,-0.0047617746,0.0013384104,-6.4652853,59.13501,6.678325,0.5153747,-0.01821893,0.025036942,-0.32805684,0.86921597,5.6984344,0.57636523,slikts
model_0064,-0.0053836657,0.017558549,-1.3984867,12.172541,59.41289,1.2031461,-0.14157297,0.115539,-2.611598,13.901537,66.65394,2.7489033,0.056417145,0.06407208,0.007944938,1.8827729,9.278274,1.1896641,slikts
model_0065,0.00016049152,0.00045234786,-1.1328573,9.155555,9.5285425,0.23011176,0.004749501,0.0013698267,0.3540488,1.1321468,6.7546763,0.19097894,-0.030748386,0.025038833,-0.23655155,-1.2980064,5.76714,0.40778562,labs
model_0066,0.0037133554,0.36050224,-0.010453783,-1.993441,268.99258,0.898946,-0.090124905,0.35468465,0.27037972,-1.8714453,109.03424,1.3743498,0.051589668,0.1899715,-0.31177998,-1.1582811,15.702556,0.8576549,slikts
model_0067,0.0072111543,0.0014991746,-1.4856309,27.193705,17.64444,0.65193087,-0.007971659,0.0060312864,-0.0716155,8.605341,14.132072,0.5591457,-0.0008175509,0.07563506,-0.033520486,-1.3895707,9.839396,0.6045428,vidējs
model_0068,0.0027625673,0.0031935922,-0.42901954,4.365977,25.347546,0.68554586,-0.022095451,0.010907756,0.08721134,0.47385025,19.324158,0.5650111,0.0022629362,0.17381996,-0.021052292,-0.93472004,14.916303,1.205567,labs
model_0069,-0.002234338,0.000536291,0.038296983,-0.6571486,10.422942,0.0915063,0.0022821813,0.0015191787,-0.00169767,-0.792887,7.0676107,0.121046185,-0.0020873286,0.0039935447,-0.08752528,-1.111432,2.2621481,0.12706627,vidējs
model_0070,0.0010256481,0.0018469528,-0.015387236,1.9088516,19.258814,0.25544265,-0.0020919258,0.009323066,0.010084448,-0.12327051,17.482609,0.3658914,-0.031806387,0.02704736,-0.3239401,-1.2246786,5.9929566,0.40842977,vidējs
model_0071,-0.00055383734,0.00045336576,0.0070866244,0.03275442,9.5422125,0.10844929,0.0040013595,0.0015227352,-0.031588476,-0.48238707,7.100819,0.13755524,-0.0039637247,0.005040668,-0.057176687,-1.1531514,2.544045,0.15396214,vidējs
model_0072,0.00011084698,0.0010906882,0.016597606,0.9413042,14.795535,0.15654728,0.0011452248,0.004068353,0.002988439,-0.58900094,11.547935,0.1769114,-0.010181626,0.0080958335,-0.20975263,-1.1072149,3.2396538,0.21268073,vidējs
model_0073,0.002355405,0.0013425809,-0.7017059,13.036043,16.449171,0.4369985,-0.011876924,0.004030653,0.27859414,2.571568,11.691825,0.35287753,-1.8626451e-09,0.09055517,1.2231344,0.4524157,10.766179,0.91427493,vidējs
model_0074,-0.012625336,0.0048300894,-3.58264,31.688389,31.64505,0.6912931,-0.06981361,0.02903457,-3.6609168,27.157862,33.333378,1.7835432,0.0017899048,0.05237493,-0.4889226,3.8376102,8.188041,1.3299476,slikts
model_0075,0.007107161,0.0019289921,-0.49605432,74.827385,19.932215,1.0774212,-0.0052768374,0.0039459416,-1.0283066,20.055471,11.411093,0.8519531,0.0020434987,0.011705727,-0.27045986,2.0709972,3.871521,0.54636693,slikts
model_0076,0.0067951116,0.0052552824,-5.3232346,145.88629,32.61936,2.493593,-0.02040533,0.006636572,-3.873778,25.672466,15.202334,0.90535766,-0.00082658976,0.026834864,0.19904976,0.6035733,5.860845,0.66335285,vidējs
model_0077,-9.417245e-07,0.00064837065,-0.25336364,1.4762254,11.4074745,0.1976521,0.003981151,0.0023700974,0.0234191,0.30070567,8.842098,0.21311633,-0.01661276,0.009113925,-0.20747696,-1.1829284,3.466855,0.2433515,labs
model_0078,6.728015e-05,0.00063965947,-0.15766358,0.9139538,11.3306265,0.17036343,0.0039261654,0.0020879447,0.022218617,0.16028976,8.301981,0.18718657,-0.01782449,0.007739067,-0.20902033,-1.1892749,3.2113357,0.24756686,labs
model_0079,0.008951699,0.001970687,-1.5263257,50.66507,20.288084,1.1215702,-0.004768231,0.004974609,-0.13192618,10.4658985,12.796599,0.6574798,0.004664184,0.011241237,0.03853548,0.36722326,3.7969236,0.37242323,vidējs
model_0080,1.0600322e-05,0.00041448933,-0.53909695,6.965296,9.120836,0.22880413,0.0032472839,0.0012996084,0.06824759,0.84853387,6.552183,0.18740983,-3.2943673e-05,0.026312381,-0.0421917,-0.88293076,5.803434,0.3900265,labs
model_0081,0.003825458,0.005558733,-0.49847504,8.71104,33.44542,0.780883,-0.009252438,0.008126508,-0.73940194,2.4232078,16.404104,0.5598618,-0.02963832,0.017584583,-0.5224101,-0.70645714,4.8613434,0.471653,labs
model_0082,0.00087254454,0.0006353107,-0.13135488,2.4770799,11.298769,0.21197093,-0.00572011,0.0032636884,0.02080223,-0.08287072,10.393108,0.21403933,0.00021100901,0.064766094,-0.11326474,-1.0726968,9.10498,0.63599014,vidējs
model_0083,0.0015013528,0.0010177959,-1.428938,15.568329,14.308319,0.39679712,-0.004084308,0.0018400294,0.09171631,1.9758344,7.800045,0.21731162,-4.4591724e-07,0.017640883,0.074480206,-1.2773094,4.751877,0.317668,vidējs
model_0084,-0.0010882552,0.10043026,-4.616757,238.1086,141.97517,11.605194,0.0056486726,0.076387614,12.563154,2705.4707,50.041122,18.250648,-0.023709174,0.38140452,-0.86068654,21.72819,22.111473,5.148299,vidējs
model_0085,0.0043618167,0.0057743364,-1.1092472,12.961126,34.099136,0.995148,-0.01311023,0.01603967,0.004846882,1.8211079,23.04821,0.7161762,-0.05731254,0.15028167,-0.33671921,-1.2193534,14.020163,1.0198946,labs
model_0086,-0.00015318532,0.00039364086,-0.32901388,12.55337,8.888755,0.26734087,0.0029404857,0.0011428915,0.20091172,3.5170045,6.1427674,0.2295578,3.2098032e-07,0.024694633,0.28162563,0.5488825,5.6222,0.5549888,labs
model_0087,-0.00026816677,0.00042580976,0.0034941016,-1.1928029,9.245331,0.04357722,0.00024871982,0.0013115063,0.005724113,-1.193705,6.5557203,0.07099798,-0.0016709851,0.002720186,0.051762324,-1.1601479,1.8669258,0.10354653,slikts
model_0088,-9.469273e-06,0.0004244429,0.0029611385,-1.1975696,9.229701,0.03575236,0.00035098195,0.0013005864,-0.013819709,-1.2025217,6.528526,0.06256214,-0.0015452604,0.002433744,0.028165465,-1.1082733,1.7658564,0.08935259,slikts
model_0089,0.11706503,0.20537174,3.8678925,15.108349,209.68881,4.960039,-0.03114621,0.09180708,-7.6951275,82.80569,55.137302,3.9994895,0.693067,2.4023173,0.6733169,0.5968299,60.743755,7.0205436,slikts
model_0090,0.0029196693,0.0038086982,-1.0619701,11.526457,27.67908,0.8244373,-0.010828822,0.0069537982,-0.42886227,1.8042207,15.221845,0.46311495,-0.0018629454,0.05479158,-0.17799489,-1.070794,8.374824,0.5831007,labs
model_0091,-0.00060071045,0.000436237,0.001739363,-0.8846986,9.360925,0.06698156,0.0033863187,0.0013063939,0.030131055,-0.9284451,6.571428,0.09048628,-0.0030610836,0.0034950979,-0.005258581,-1.1275057,2.1179516,0.1273514,vidējs
model_0092,0.003527552,0.005650209,-0.8261429,5.9291916,33.71226,0.8352353,-0.04400673,0.021732712,0.012208901,0.38787532,27.849522,0.63021827,0.0019040458,0.23306867,-0.21323553,-1.2697554,17.272305,1.0628706,labs
model_0093,8.3876424e-05,0.00042502608,-0.0045742667,-1.2021015,9.236116,0.035897277,-0.0003502956,0.0013080175,0.009543059,-1.2024804,6.5471473,0.0628134,-0.0011899897,0.0024806764,0.043609675,-1.1536658,1.782436,0.091411345,slikts
model_0094,-3.14302e-05,0.00045625106,0.0003335465,-1.0272474,9.569304,0.04928443,-0.00055091607,0.0013792652,-0.012639469,-1.173271,6.723519,0.07382441,0.0014845749,0.0026487228,-0.044620626,-1.235113,1.8420603,0.09414161,slikts
model_0095,0.03678313,0.060434513,-6.1186523,150.5416,111.35963,8.775242,-0.016568128,0.016730912,-2.6988432,26.60343,23.605791,2.4228992,-0.034473013,0.0288349,-0.52948684,1.1907487,6.1991777,0.7706283,vidējs
model_0096,0.0013721962,0.000933303,-0.8536365,8.757234,13.700197,0.32236984,-0.004727373,0.0043004737,0.07957431,0.46309686,11.9016905,0.2762587,-0.016480293,0.07618627,-0.20774361,-1.4665744,9.892728,0.6185367,labs
model_0097,0.0002943381,0.00070607447,-0.38865346,10.980945,11.905016,0.30376363,0.0008415469,0.003773064,-0.0018248034,0.8996694,11.120205,0.2771951,-0.014183494,0.102494314,-0.30165035,-1.1223135,11.465175,0.8614234,labs
model_0098,-0.014586743,0.03685544,-0.24616413,7.395049,86.25398,1.1554723,0.01081378,0.18112868,0.95165205,6.096775,77.06526,2.362751,0.0839698,0.14701001,-0.049574655,8.440611,14.042721,2.7466505,slikts
model_0099,5.064619e-05,0.0004245284,-0.0042585353,-1.1940207,9.2306595,0.039766356,-0.000120403274,0.0013159672,-0.0038038031,-1.2150372,6.5667415,0.06657685,0.0008789798,0.002506787,0.01884225,-1.1609616,1.791557,0.098131806,slikts
model_0100,0.43856522,0.14076349,-2.072802,3.2069407,258.56348,1.8133664,-0.22288835,0.27153763,0.77255595,-1.1555659,102.59452,1.1802279,0.27667767,0.18115693,-0.9889563,-0.25735188,18.1622,1.0617648,slikts
model_0101,-0.000111841604,0.00044626705,-0.27745256,1.451448,9.464144,0.15554802,0.0043890644,0.0017994349,-0.034456033,-0.06606674,7.7197876,0.1633069,-0.015594591,0.009637868,-0.09738739,-1.2957823,3.556368,0.22862306,labs
model_0102,0.0006310199,0.0013918853,-0.46695557,4.0171995,16.716362,0.34695715,0.00032701791,0.0035871635,-0.07737437,0.5420027,10.841941,0.28790072,0.0013470973,0.051685948,-0.16071777,-0.87984824,8.1339,0.570729,labs
model_0103,0.0013480374,0.00097072625,-0.70426005,5.718025,13.971158,0.3045352,-0.010074783,0.0048248377,0.101309404,0.012755394,12.705364,0.25732252,-0.040463574,0.052783143,-0.2825232,-1.4054402,8.346147,0.57289094,vidējs
model_0104,-0.005104271,0.0030308396,-0.82835853,8.31358,24.76955,0.49865592,-0.058863632,0.03035035,-1.3025558,7.1844654,33.28752,1.4679049,0.0038798577,0.025005514,0.023066822,1.1407566,5.6591806,0.7130967,slikts
model_0105,-0.0009326202,0.00047617446,0.0032291715,-0.8692806,9.78492,0.094565116,0.0020255977,0.0016175797,0.035397705,-0.8394451,7.2896705,0.14437297,0.00012113247,0.011143731,0.016198596,-0.46488976,3.7767704,0.34188592,vidējs
model_0106,0.00044096538,0.00091637654,-0.0121795125,0.03910184,13.563167,0.10653783,-0.0020876087,0.0026496493,0.020716082,-0.7776687,9.3255825,0.12469345,-0.0033701472,0.005163354,-0.027194472,-1.1275365,2.5736415,0.14512947,slikts
model_0107,7.6463575e-06,0.00042528883,0.0005626329,-1.199826,9.238895,0.037731703,-0.00021477153,0.0013184376,0.0099184755,-1.2107809,6.572981,0.064604275,8.383465e-05,0.0026646894,-0.01639567,-1.1757982,1.8468382,0.097500294,slikts
model_0108,-0.023797607,0.3599851,0.078834444,-1.9889027,269.00574,0.63623804,-0.21699068,0.31674096,0.74118763,-1.3960856,109.18721,1.1744523,0.006391096,0.25394326,-0.17485292,-1.6455265,18.030521,0.87963855,slikts
model_0109,0.0027843178,0.0038208873,-0.7505263,7.164278,27.720444,0.67136127,-0.01668596,0.012547707,0.0776201,0.3301072,20.500893,0.50761694,-0.00013940557,0.18908319,0.009116819,-1.1985966,15.557201,1.2076837,labs
model_0110,-2.5577647e-05,0.0005334185,-0.048495803,-0.3734851,10.346948,0.14253692,0.002860163,0.0018480443,0.07202865,-0.5960095,7.7990246,0.17683704,0.0019962196,0.017175963,-0.060690586,-0.6344433,4.6893854,0.3830344,labs
model_0111,-8.601921e-05,0.0010880807,-0.058537662,3.43896,14.777807,0.33698428,0.0034894757,0.0036294747,0.068600774,0.8871479,10.92381,0.3237914,0.0004032959,0.056691397,-0.04200563,0.27823877,8.51852,0.86543494,labs
model_0112,0.0025130266,0.00263005,-0.6150836,3.869852,23.002806,0.48977748,-0.030641723,0.011206808,0.06006716,0.024543285,19.94971,0.43338218,0.0021543032,0.14122954,-0.26578486,-1.1841389,13.445436,0.89124656,labs
