model_id,learning_rate,batch_size,optimizer,l2_reg,dropout,activation,epochs
model_0049,0.01,64,sgd,0.0,0.5,sigmoid,20
model_0050,1e-05,16,adam,1e-05,0.5,sigmoid,10
model_0051,0.01,256,adam,0.0,0.0,relu,10
model_0052,0.1,16,adam,1e-05,0.2,relu,5
model_0053,0.001,64,sgd,0.0001,0.0,relu,5
model_0054,0.001,256,adam,1e-05,0.0,relu,10
model_0055,0.01,16,sgd,0.0001,0.2,relu,20
model_0056,0.0001,512,sgd,0.001,0.0,sigmoid,10
model_0057,0.0001,128,adam,0.0001,0.0,relu,5
model_0058,0.0001,128,adam,0.0001,0.0,sigmoid,20
model_0059,0.1,128,adam,0.0,0.0,sigmoid,10
model_0060,0.1,64,sgd,0.0,0.5,sigmoid,20
model_0061,0.001,128,sgd,0.001,0.5,relu,20
model_0062,1e-05,512,adam,0.0,0.5,relu,20
model_0063,0.01,16,adam,0.0001,0.5,relu,20
model_0064,0.1,64,adam,0.0001,0.2,sigmoid,50
model_0065,0.0001,32,adam,0.001,0.5,relu,50
model_0066,0.1,64,adam,0.0,0.2,sigmoid,10
model_0067,0.01,256,adam,0.001,0.2,sigmoid,10
model_0068,0.1,128,sgd,0.0,0.2,sigmoid,5
model_0069,0.0001,512,adam,1e-05,0.0,relu,5
model_0070,1e-05,32,adam,0.0,0.2,sigmoid,50
model_0071,0.0001,512,adam,0.001,0.2,relu,10
model_0072,1e-05,16,adam,1e-05,0.0,sigmoid,5
model_0073,0.1,32,sgd,0.001,0.0,sigmoid,50
model_0074,0.1,256,adam,0.001,0.5,sigmoid,50
model_0075,0.01,32,adam,0.001,0.2,relu,20
model_0076,0.1,128,sgd,0.0001,0.2,relu,20
model_0077,0.0001,64,adam,0.0001,0.5,relu,10
model_0078,0.0001,32,adam,1e-05,0.5,relu,5
model_0079,0.01,128,adam,0.001,0.2,relu,10
model_0080,0.01,128,sgd,0.001,0.2,relu,20
model_0081,0.001,128,adam,1e-05,0.2,relu,20
model_0082,0.01,128,sgd,0.001,0.2,sigmoid,10
model_0083,0.01,32,sgd,0.001,0.5,relu,5
model_0084,0.01,32,adam,1e-05,0.0,sigmoid,35
model_0085,0.001,32,adam,0.0001,0.2,sigmoid,20
model_0086,0.01,64,sgd,0.001,0.0,relu,20
model_0087,0.0001,512,sgd,0.0,0.0,relu,10
model_0088,1e-05,256,sgd,1e-05,0.0,sigmoid,5
model_0089,0.1,32,adam,0.0001,0.2,relu,50
model_0090,0.1,512,sgd,1e-05,0.2,relu,50
model_0091,1e-05,64,adam,0.001,0.5,relu,5
model_0092,0.1,512,sgd,0.0,0.5,sigmoid,50
model_0093,1e-05,256,sgd,0.0001,0.5,sigmoid,20
model_0094,1e-05,256,adam,0.0,0.2,sigmoid,5
model_0095,0.01,64,adam,1e-05,0.2,relu,50
model_0096,0.001,256,adam,0.001,0.2,sigmoid,20
model_0097,0.0001,16,adam,0.001,0.0,sigmoid,50
model_0098,0.1,512,adam,0.0001,0.0,sigmoid,20
model_0099,0.0001,128,sgd,0.0001,0.2,sigmoid,20
model_0100,0.1,512,adam,0.0,0.5,relu,5
model_0101,0.0001,512,adam,0.001,0.5,relu,35
model_0102,0.01,128,sgd,0.0,0.2,relu,35
model_0103,0.0001,64,adam,0.001,0.5,sigmoid,35
model_0104,0.1,64,adam,0.001,0.2,sigmoid,20
model_0105,0.0001,16,sgd,0.0001,0.0,relu,10
model_0106,0.0001,512,adam,0.0001,0.5,sigmoid,5
model_0107,0.0001,64,sgd,0.0001,0.0,sigmoid,5
model_0108,0.1,32,adam,0.0,0.0,sigmoid,10
model_0109,0.01,16,sgd,0.0001,0.2,sigmoid,35
model_0110,0.001,32,sgd,0.0001,0.2,relu,5
model_0111,0.01,128,sgd,0.0,0.0,relu,50
model_0112,0.001,16,sgd,0.0,0.5,sigmoid,50
model_0113,0.1,256,sgd,0.001,0.2,sigmoid,20
model_0114,0.1,128,adam,0.0,0.5,relu,10
model_0115,0.0001,64,sgd,1e-05,0.0,relu,50
model_0116,1e-05,32,sgd,0.001,0.2,sigmoid,20
model_0117,1e-05,32,adam,0.0001,0.5,sigmoid,5
model_0118,0.0001,64,sgd,0.001,0.0,relu,10
model_0119,0.001,32,sgd,0.0,0.0,sigmoid,50
model_0120,0.1,64,adam,0.0,0.2,sigmoid,35
model_0121,0.001,256,adam,0.001,0.0,relu,35
model_0122,0.001,256,adam,0.0,0.0,relu,50
model_0123,0.1,16,adam,0.0,0.0,sigmoid,50
model_0124,0.01,64,sgd,0.001,0.5,sigmoid,5
model_0125,0.01,64,adam,0.0001,0.2,relu,10
model_0126,0.001,128,adam,0.0001,0.5,sigmoid,50
model_0127,1e-05,128,sgd,0.0001,0.2,sigmoid,5
model_0128,0.01,256,sgd,0.001,0.2,relu,10
model_0129,0.1,64,adam,0.001,0.0,relu,20
model_0130,0.1,32,adam,0.001,0.5,sigmoid,5
model_0131,1e-05,512,sgd,1e-05,0.2,relu,50
model_0132,0.01,16,sgd,0.0,0.2,relu,10
model_0133,0.01,512,adam,0.0001,0.2,sigmoid,35
model_0134,0.0001,128,sgd,0.001,0.0,relu,5
model_0135,0.001,128,adam,0.0001,0.0,sigmoid,20
model_0136,0.1,256,adam,1e-05,0.2,sigmoid,20
model_0137,0.001,256,adam,0.001,0.2,relu,10
model_0138,0.1,128,sgd,0.001,0.0,sigmoid,35
model_0139,0.01,128,sgd,0.001,0.0,relu,50
model_0140,0.1,64,sgd,0.001,0.0,sigmoid,5
model_0141,0.0001,128,sgd,0.0,0.2,sigmoid,20
model_0142,0.1,512,adam,0.0,0.2,sigmoid,20
model_0143,0.01,256,sgd,0.0,0.0,sigmoid,10
model_0144,1e-05,128,sgd,0.0,0.2,relu,20
model_0145,1e-05,16,adam,0.0,0.2,sigmoid,20
model_0146,0.01,32,sgd,0.001,0.5,relu,10
model_0147,0.0001,16,adam,1e-05,0.2,relu,10
model_0148,0.01,512,adam,0.001,0.2,relu,35
model_0149,0.001,512,sgd,0.0,0.2,sigmoid,50
model_0150,0.001,512,adam,0.0001,0.2,sigmoid,10
model_0151,0.01,128,sgd,1e-05,0.2,sigmoid,50
model_0152,0.001,512,adam,0.0,0.5,sigmoid,20
model_0153,1e-05,256,sgd,0.001,0.2,relu,50
model_0154,0.001,32,sgd,0.0001,0.5,relu,5
model_0155,1e-05,64,adam,0.0,0.5,sigmoid,10
model_0156,1e-05,64,adam,0.001,0.0,relu,10
model_0157,0.1,64,adam,1e-05,0.2,sigmoid,20
model_0158,0.001,16,adam,0.0,0.0,relu,35
model_0159,0.1,64,sgd,0.001,0.0,sigmoid,50
model_0160,1e-05,128,adam,0.0001,0.5,sigmoid,20
model_0161,1e-05,512,sgd,0.001,0.0,sigmoid,50
model_0162,0.0001,512,sgd,0.001,0.5,sigmoid,35
model_0163,1e-05,32,sgd,0.0,0.2,sigmoid,5
model_0164,1e-05,32,sgd,0.001,0.2,sigmoid,50
model_0165,0.01,256,sgd,0.001,0.5,relu,35
model_0166,0.1,128,adam,0.0,0.5,sigmoid,10
model_0167,0.01,128,sgd,0.0001,0.0,sigmoid,50
model_0168,0.001,16,adam,0.0001,0.0,relu,35
model_0169,1e-05,512,sgd,0.0,0.0,sigmoid,10
model_0170,0.0001,256,sgd,0.0,0.5,relu,50
model_0171,0.0001,32,adam,1e-05,0.5,relu,20
model_0172,0.0001,32,adam,1e-05,0.0,relu,10
model_0173,1e-05,64,sgd,0.0001,0.0,relu,20
model_0174,1e-05,32,adam,0.0,0.5,relu,35
model_0175,0.01,64,sgd,0.001,0.5,relu,50
model_0176,1e-05,512,adam,0.001,0.5,relu,5
model_0177,0.01,128,adam,0.0,0.2,sigmoid,5
model_0178,1e-05,64,sgd,0.0,0.0,sigmoid,50
model_0179,0.1,256,adam,0.001,0.5,sigmoid,35
model_0180,0.1,256,adam,0.0,0.5,relu,50
model_0181,0.0001,128,adam,1e-05,0.2,sigmoid,35
model_0182,0.01,128,sgd,0.0001,0.2,sigmoid,20
model_0183,0.001,32,adam,0.0,0.0,relu,5
model_0184,0.01,16,adam,1e-05,0.5,relu,50
model_0185,0.1,256,adam,0.0,0.2,sigmoid,35
model_0186,1e-05,64,adam,0.0001,0.0,relu,10
model_0187,0.01,32,sgd,0.0001,0.5,sigmoid,5
model_0188,0.001,256,sgd,0.001,0.5,relu,50
model_0189,0.001,16,sgd,0.0001,0.5,sigmoid,20
model_0190,0.001,16,sgd,1e-05,0.5,sigmoid,5
model_0191,0.0001,512,sgd,0.0,0.5,relu,35
model_0192,0.01,128,adam,1e-05,0.2,sigmoid,20
model_0193,0.1,256,sgd,0.0,0.0,relu,50
model_0194,1e-05,512,sgd,0.0001,0.2,sigmoid,35
model_0195,0.1,128,adam,0.0001,0.0,relu,20
model_0196,0.01,16,adam,0.001,0.5,sigmoid,5
model_0197,0.0001,128,sgd,0.0,0.0,sigmoid,10
model_0198,0.0001,64,adam,0.0001,0.0,relu,35
model_0199,0.01,32,sgd,0.001,0.5,relu,50
model_0200,0.1,512,adam,0.0,0.2,relu,35
model_0201,1e-05,128,sgd,0.0001,0.5,sigmoid,50
model_0202,0.01,512,adam,0.0001,0.0,sigmoid,5
model_0203,0.001,32,adam,0.0001,0.0,sigmoid,5
model_0204,0.0001,128,adam,0.0,0.2,sigmoid,20
model_0205,0.0001,64,sgd,0.0,0.5,relu,50
model_0206,0.1,32,adam,0.0001,0.5,relu,10
model_0207,1e-05,32,adam,1e-05,0.0,relu,5
model_0208,0.0001,512,adam,0.001,0.5,sigmoid,50
model_0209,0.1,64,adam,1e-05,0.2,relu,35
model_0210,0.01,512,adam,0.0001,0.5,relu,20
model_0211,0.1,16,adam,0.001,0.2,relu,5
model_0212,0.001,64,sgd,0.0,0.5,sigmoid,35
model_0213,0.1,256,sgd,0.001,0.5,relu,20
model_0214,0.1,128,sgd,0.0,0.2,relu,20
model_0215,1e-05,256,sgd,0.0,0.0,sigmoid,35
model_0216,0.1,256,sgd,0.0001,0.2,sigmoid,35
model_0217,0.01,64,sgd,0.0001,0.0,sigmoid,5
model_0218,0.1,512,adam,0.0001,0.2,relu,20
model_0219,1e-05,256,sgd,0.0001,0.2,sigmoid,10
model_0220,0.1,512,sgd,0.0001,0.5,sigmoid,20
model_0221,0.0001,512,sgd,0.001,0.5,sigmoid,5
model_0222,0.001,64,sgd,1e-05,0.2,sigmoid,10
model_0223,0.0001,32,sgd,0.0,0.2,relu,50
model_0224,0.1,512,sgd,0.0001,0.5,relu,50
model_0225,0.01,32,sgd,1e-05,0.5,relu,35
model_0226,1e-05,128,adam,1e-05,0.2,sigmoid,35
model_0227,0.0001,256,sgd,0.0001,0.2,relu,20
model_0228,0.1,128,adam,0.0001,0.2,sigmoid,10
model_0229,0.0001,256,sgd,0.0001,0.0,sigmoid,20
model_0230,0.1,16,sgd,0.0001,0.0,relu,20
model_0231,0.01,256,sgd,0.001,0.0,relu,35
model_0232,0.001,16,adam,0.0,0.2,sigmoid,10
model_0233,0.01,16,adam,1e-05,0.0,sigmoid,5
model_0234,0.001,32,sgd,0.0,0.2,sigmoid,10
model_0235,0.01,128,sgd,0.0,0.0,sigmoid,10
model_0236,0.0001,256,adam,0.0,0.2,relu,20
model_0237,1e-05,16,sgd,0.001,0.5,sigmoid,5
model_0238,1e-05,128,sgd,1e-05,0.5,relu,20
model_0239,0.01,16,adam,1e-05,0.5,sigmoid,10
model_0240,1e-05,256,adam,0.0,0.5,relu,35
model_0241,0.01,16,adam,0.0001,0.2,relu,20
model_0242,1e-05,64,sgd,0.0,0.5,sigmoid,10
model_0243,1e-05,64,adam,1e-05,0.5,sigmoid,35
model_0244,0.0001,32,sgd,0.001,0.0,sigmoid,10
model_0245,1e-05,32,sgd,0.0001,0.2,sigmoid,50
model_0246,0.01,64,sgd,1e-05,0.2,sigmoid,5
model_0247,0.001,64,sgd,0.0001,0.2,sigmoid,35
model_0250,0.0001,256,adam,0.0001,0.0,relu,20
model_0248,0.01,64,sgd,0.001,0.5,sigmoid,20
model_0249,0.1,64,sgd,0.001,0.0,sigmoid,50
model_0251,0.001,64,adam,0.001,0.0,sigmoid,20
model_0252,0.01,16,adam,0.001,0.2,relu,5
model_0253,0.01,64,sgd,0.0,0.0,sigmoid,5
model_0254,0.0001,16,sgd,0.0001,0.2,sigmoid,50
model_0255,1e-05,256,sgd,0.001,0.2,sigmoid,35
model_0256,1e-05,256,sgd,0.0001,0.2,sigmoid,20
model_0257,0.0001,16,sgd,1e-05,0.2,sigmoid,50
model_0258,1e-05,64,adam,0.001,0.0,sigmoid,35
model_0259,0.0001,16,sgd,0.0,0.2,relu,35
model_0260,1e-05,512,adam,0.0001,0.5,relu,50
model_0261,0.1,64,adam,1e-05,0.5,relu,20
model_0262,0.1,32,sgd,1e-05,0.0,relu,35
model_0263,1e-05,64,adam,0.001,0.5,relu,50
model_0264,1e-05,16,adam,0.001,0.5,sigmoid,50
model_0265,0.01,128,sgd,1e-05,0.2,relu,35
model_0266,0.01,512,adam,1e-05,0.5,relu,10
model_0267,0.01,256,sgd,0.0,0.5,relu,20
model_0268,0.0001,32,adam,1e-05,0.2,sigmoid,5
model_0269,0.001,32,adam,1e-05,0.5,sigmoid,50
model_0270,0.1,16,sgd,1e-05,0.0,sigmoid,50
model_0271,1e-05,16,sgd,0.0,0.5,sigmoid,10
model_0272,0.1,128,sgd,0.001,0.5,sigmoid,20
model_0273,0.01,32,adam,0.0001,0.2,relu,5
model_0274,0.0001,128,adam,0.001,0.2,relu,20
model_0275,0.1,32,adam,0.0001,0.5,sigmoid,35
model_0276,0.0001,64,sgd,0.0001,0.0,sigmoid,5
model_0277,0.001,128,sgd,1e-05,0.0,relu,20
model_0278,0.01,256,adam,1e-05,0.0,sigmoid,50
model_0279,0.001,32,sgd,0.001,0.5,sigmoid,35
model_0280,0.001,128,sgd,0.0,0.2,sigmoid,10
model_0281,0.0001,256,adam,0.0,0.0,sigmoid,35
model_0282,0.1,512,adam,0.0001,0.5,relu,5
model_0283,0.01,32,adam,0.0001,0.2,sigmoid,5
model_0284,0.01,16,sgd,0.0001,0.5,sigmoid,5
model_0285,0.01,256,adam,0.0001,0.5,relu,10
model_0286,1e-05,128,adam,0.0001,0.5,sigmoid,10
model_0287,0.0001,256,adam,0.0,0.0,relu,10
model_0288,0.001,128,adam,1e-05,0.5,relu,20
model_0289,0.1,64,sgd,0.001,0.5,sigmoid,50
model_0290,0.001,256,adam,0.0001,0.2,relu,20
model_0291,0.001,512,sgd,0.001,0.5,sigmoid,5
model_0292,0.1,128,adam,1e-05,0.5,relu,50
model_0293,0.01,32,adam,1e-05,0.5,relu,5
model_0294,0.1,512,sgd,1e-05,0.0,sigmoid,20
model_0295,0.01,32,adam,1e-05,0.2,sigmoid,5
model_0296,0.0001,256,sgd,0.0001,0.5,sigmoid,50
model_0297,0.01,64,sgd,0.001,0.5,sigmoid,50
model_0298,0.001,512,adam,0.001,0.0,relu,20
model_0299,0.1,64,sgd,0.0001,0.2,relu,35
model_0300,0.001,128,adam,0.0001,0.2,relu,50
model_0301,0.1,128,adam,0.0001,0.0,sigmoid,5
model_0302,0.001,512,sgd,0.0001,0.2,sigmoid,35
model_0303,0.0001,32,adam,0.0001,0.0,relu,50
model_0304,0.1,32,sgd,0.0,0.5,relu,10
model_0305,1e-05,16,adam,0.0001,0.5,sigmoid,5
model_0306,0.0001,16,sgd,0.001,0.5,sigmoid,35
model_0307,0.0001,64,adam,0.0001,0.5,relu,5
model_0308,0.1,32,sgd,1e-05,0.2,relu,5
model_0309,0.01,128,sgd,0.0001,0.0,relu,20
model_0310,0.1,256,sgd,0.0001,0.2,sigmoid,50
model_0311,0.1,128,sgd,0.001,0.2,relu,5
model_0312,0.001,32,adam,0.0001,0.5,relu,5
model_0313,0.001,64,sgd,1e-05,0.5,sigmoid,35
model_0314,0.1,64,sgd,0.001,0.5,relu,10
model_0315,0.0001,128,adam,1e-05,0.0,sigmoid,35
model_0316,0.0001,128,adam,0.0001,0.2,relu,20
model_0317,0.001,512,sgd,0.0,0.5,relu,35
model_0318,0.001,32,adam,0.0001,0.5,relu,20
model_0319,0.001,256,sgd,1e-05,0.0,sigmoid,10
model_0320,0.01,512,adam,0.001,0.5,sigmoid,50
model_0321,0.0001,32,sgd,0.001,0.5,sigmoid,5
model_0322,0.1,16,sgd,1e-05,0.5,relu,10
model_0323,0.001,256,adam,0.0,0.5,relu,50
model_0324,0.01,16,adam,0.0,0.2,relu,50
model_0325,0.01,128,sgd,0.001,0.5,sigmoid,5
model_0326,0.01,64,sgd,1e-05,0.5,relu,5
model_0327,0.01,64,sgd,0.0,0.0,sigmoid,5
model_0328,0.001,128,sgd,1e-05,0.5,sigmoid,20
model_0329,0.01,128,adam,0.001,0.0,relu,20
model_0330,1e-05,32,adam,1e-05,0.5,relu,5
model_0331,1e-05,64,adam,0.001,0.5,sigmoid,10
model_0332,0.0001,128,adam,1e-05,0.2,relu,5
model_0333,1e-05,512,adam,0.0,0.0,relu,5
model_0334,1e-05,256,sgd,0.001,0.5,relu,10
model_0335,1e-05,128,adam,1e-05,0.5,relu,5
model_0336,0.0001,256,adam,1e-05,0.5,sigmoid,50
model_0337,0.1,512,adam,1e-05,0.2,relu,50
model_0338,0.0001,128,adam,0.0001,0.0,relu,35
model_0339,0.1,128,sgd,0.0001,0.5,sigmoid,50
model_0340,0.001,512,adam,0.001,0.0,sigmoid,35
model_0341,0.0001,256,adam,1e-05,0.0,sigmoid,10
model_0342,0.01,16,adam,0.001,0.5,relu,35
model_0343,0.0001,64,sgd,0.0001,0.5,relu,35
model_0344,0.001,16,sgd,0.0,0.2,sigmoid,50
model_0345,0.1,16,sgd,1e-05,0.5,relu,35
model_0346,0.0001,64,adam,0.0,0.0,relu,5
model_0347,0.01,32,sgd,0.001,0.0,sigmoid,20
model_0348,0.01,128,adam,0.0001,0.2,sigmoid,50
model_0349,0.01,128,sgd,0.001,0.2,relu,20
model_0350,0.001,128,sgd,1e-05,0.5,relu,5
model_0351,0.001,256,adam,0.0001,0.0,relu,20
model_0352,0.0001,128,sgd,0.001,0.5,sigmoid,20
model_0353,0.01,512,adam,0.001,0.0,sigmoid,10
model_0354,0.0001,512,adam,1e-05,0.5,relu,50
model_0355,1e-05,16,sgd,0.0,0.2,relu,10
model_0356,1e-05,512,sgd,0.0,0.0,sigmoid,20
model_0357,1e-05,256,adam,0.001,0.0,relu,50
model_0358,0.1,128,sgd,0.0,0.5,sigmoid,50
model_0359,0.001,16,adam,1e-05,0.0,relu,50
model_0360,0.0001,32,sgd,0.0001,0.2,sigmoid,35
model_0361,1e-05,64,adam,0.001,0.5,relu,10
model_0362,0.001,512,sgd,0.0,0.0,sigmoid,35
model_0363,0.01,256,adam,0.0,0.5,relu,10
model_0364,1e-05,128,adam,0.0001,0.5,relu,50
model_0365,1e-05,32,sgd,0.001,0.2,relu,5
model_0366,0.001,256,sgd,1e-05,0.2,relu,10
model_0367,0.1,32,adam,0.0,0.2,relu,50
model_0368,0.0001,256,adam,0.0001,0.2,relu,5
model_0369,0.1,512,adam,0.0,0.0,sigmoid,10
model_0370,1e-05,64,adam,0.0001,0.0,sigmoid,35
model_0371,0.01,32,adam,0.001,0.2,relu,50
model_0372,0.01,16,adam,1e-05,0.5,relu,5
model_0373,0.001,32,adam,1e-05,0.5,sigmoid,20
model_0374,0.001,16,sgd,0.0,0.2,sigmoid,20
model_0375,0.001,16,sgd,0.0,0.0,sigmoid,35
model_0376,0.1,256,adam,0.0,0.0,relu,20
model_0377,0.1,16,adam,0.001,0.0,sigmoid,35
model_0378,0.01,16,sgd,1e-05,0.5,sigmoid,10
model_0379,0.0001,64,adam,0.0001,0.2,relu,5
model_0380,0.0001,128,adam,0.001,0.2,sigmoid,5
model_0381,0.001,64,sgd,0.001,0.5,relu,35
model_0382,1e-05,32,adam,0.0,0.2,sigmoid,50
model_0383,0.01,64,adam,0.0001,0.2,relu,20
model_0384,0.001,256,sgd,0.001,0.2,relu,35
model_0385,0.001,64,adam,1e-05,0.2,sigmoid,20
model_0386,0.01,64,sgd,1e-05,0.5,relu,50
model_0387,1e-05,512,adam,1e-05,0.2,sigmoid,5
model_0388,0.01,512,adam,1e-05,0.5,sigmoid,10
model_0389,0.001,512,sgd,0.001,0.2,relu,35
model_0390,0.1,128,adam,0.001,0.5,relu,20
model_0391,0.1,256,sgd,0.0,0.0,sigmoid,10
model_0392,0.1,16,adam,0.0001,0.2,relu,5
model_0393,1e-05,64,sgd,1e-05,0.2,sigmoid,35
model_0394,0.01,512,sgd,0.0001,0.0,sigmoid,5
model_0395,0.001,128,sgd,0.0,0.5,relu,20
model_0396,0.001,64,adam,1e-05,0.5,sigmoid,20
model_0397,0.01,16,adam,0.001,0.2,relu,20
model_0398,1e-05,512,sgd,0.0,0.2,relu,10
model_0399,0.0001,256,sgd,1e-05,0.2,sigmoid,35
model_0400,0.0001,128,sgd,1e-05,0.5,sigmoid,35
model_0401,1e-05,512,sgd,0.001,0.5,sigmoid,35
model_0402,1e-05,512,sgd,1e-05,0.2,relu,50
model_0403,1e-05,256,sgd,0.0001,0.2,relu,35
model_0404,1e-05,64,adam,0.0001,0.5,sigmoid,50
model_0405,0.01,256,sgd,0.0001,0.2,sigmoid,50
model_0406,0.0001,512,adam,0.0,0.5,relu,20
model_0407,1e-05,32,adam,0.0,0.0,sigmoid,10
model_0408,0.1,128,adam,1e-05,0.5,sigmoid,35
model_0409,0.0001,128,sgd,1e-05,0.2,sigmoid,10
model_0410,0.0001,64,adam,0.0,0.2,relu,35
model_0411,0.0001,32,adam,0.001,0.2,sigmoid,35
model_0412,0.01,128,sgd,0.0,0.5,relu,10
model_0413,0.001,16,adam,1e-05,0.5,sigmoid,10
model_0414,0.01,256,adam,0.0,0.5,relu,20
model_0415,0.1,64,sgd,0.001,0.5,relu,35
model_0416,1e-05,512,sgd,0.0001,0.0,sigmoid,20
model_0417,0.001,16,adam,0.0,0.0,relu,50
model_0418,0.001,512,adam,1e-05,0.5,relu,10
model_0419,0.0001,16,adam,0.0001,0.5,relu,20
model_0420,0.001,64,adam,0.0,0.0,sigmoid,5
model_0421,0.001,512,sgd,1e-05,0.0,relu,20
model_0422,0.0001,512,adam,0.001,0.0,sigmoid,35
model_0423,0.01,128,sgd,0.0,0.2,sigmoid,20
model_0424,0.01,128,adam,0.0,0.5,relu,35
model_0425,0.001,16,adam,1e-05,0.2,relu,35
model_0426,0.001,64,adam,0.0001,0.5,relu,50
model_0427,0.01,64,sgd,0.0,0.0,sigmoid,5
model_0428,1e-05,32,adam,0.001,0.0,sigmoid,10
model_0429,0.0001,512,adam,1e-05,0.2,relu,20
model_0430,0.001,16,adam,1e-05,0.0,sigmoid,20
model_0431,0.0001,128,sgd,0.0,0.0,relu,35
model_0432,1e-05,32,sgd,0.001,0.0,relu,20
model_0433,1e-05,128,sgd,0.001,0.0,relu,35
model_0434,1e-05,512,sgd,0.0,0.2,sigmoid,20
model_0435,0.0001,128,sgd,1e-05,0.0,relu,50
model_0436,0.0001,128,adam,1e-05,0.5,relu,35
model_0437,0.1,512,adam,1e-05,0.0,relu,10
model_0438,1e-05,256,adam,0.0001,0.2,sigmoid,10
model_0439,0.0001,64,sgd,1e-05,0.5,sigmoid,5
model_0440,0.001,32,sgd,0.001,0.2,relu,10
model_0441,0.01,128,sgd,1e-05,0.2,relu,50
model_0442,1e-05,64,adam,1e-05,0.2,sigmoid,20
model_0443,0.1,512,sgd,0.001,0.0,relu,50
model_0444,1e-05,16,adam,1e-05,0.0,relu,35
model_0445,0.1,64,adam,0.001,0.5,sigmoid,5
model_0446,0.1,256,sgd,0.0001,0.0,sigmoid,5
model_0447,0.1,32,sgd,0.0001,0.2,relu,20
model_0448,0.01,512,sgd,0.0,0.0,relu,35
model_0449,1e-05,128,sgd,0.0001,0.5,relu,5
model_0450,1e-05,512,sgd,0.0,0.0,sigmoid,20
model_0451,0.1,256,adam,1e-05,0.2,relu,20
model_0452,1e-05,16,adam,0.001,0.2,relu,20
model_0453,0.1,512,sgd,0.001,0.2,sigmoid,5
model_0454,0.01,256,sgd,0.0001,0.0,sigmoid,5
model_0455,0.1,512,sgd,1e-05,0.5,relu,5
model_0456,1e-05,32,sgd,0.001,0.2,sigmoid,10
model_0457,0.0001,16,adam,1e-05,0.2,relu,35
model_0458,0.001,64,sgd,0.0001,0.0,relu,10
model_0459,0.0001,256,sgd,0.001,0.0,sigmoid,20
model_0460,0.001,64,sgd,0.001,0.0,sigmoid,10
model_0461,0.001,256,adam,1e-05,0.2,sigmoid,50
model_0462,0.01,32,sgd,1e-05,0.0,sigmoid,5
model_0463,0.0001,256,adam,0.0,0.2,relu,35
model_0464,0.001,16,sgd,1e-05,0.2,sigmoid,5
model_0465,0.0001,512,adam,0.0,0.0,relu,50
